auroc,auprc,prevalence,brier_score,log_loss,ece,ece_equal_width,ece_equal_mass,calibration_slope,calibration_intercept,intercept_in_the_large,sensitivity_th0.50,specificity_th0.50,ppv_th0.50,npv_th0.50,accuracy_th0.50,true_positives,false_positives,true_negatives,false_negatives,run_id,architecture,loss_type,seed,target,stratum,eval_mode,sample_count
0.4971114361929455,0.2731529562076192,0.26329708099365234,0.2948988676071167,0.9383198618888855,0.26275438305878335,0.26275438305878335,0.2592595711705126,-0.0013571424642577767,-1.0303150415420532,-0.7144397149262607,0.3325892857142857,0.6649381731152773,0.2618629173989455,0.7359823399558499,0.5774316779312372,298.0,840.0,1667.0,598.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,Cardiomegaly,all_frontal,raw,3403
0.4971114361929455,0.2731529562076192,0.26329708099365234,0.2386193871498108,1.0334770679473877,0.19382960256271212,0.19382960256271212,0.19297613246875966,-0.0017957438249140978,-1.035079836845398,1.534390863622005,0.044642857142857144,0.9664938173115277,0.3225806451612903,0.7389448002439768,0.7237731413458713,40.0,84.0,2423.0,856.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,Cardiomegaly,all_frontal,analytic_corrected,3403
0.5323817380472686,0.3199670526675332,0.3010394871234894,0.26204872131347656,0.8920995593070984,0.19371768809901452,0.19371768809901452,0.19714713972720188,0.04940782114863396,-0.7503460049629211,0.41810935268980465,0.2058011049723757,0.8251041046995836,0.3363431151241535,0.7069317023445464,0.6386694386694387,149.0,294.0,1387.0,575.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,Cardiomegaly,ap_view,raw,2405
0.5323817380472686,0.3199670526675332,0.3010394871234894,0.2761448323726654,1.2664780616760254,0.25058451426252254,0.25058451426252254,0.2461428188050859,0.04915306717157364,-0.6404235363006592,2.666939843179892,0.0055248618784530384,0.9952409280190363,0.3333333333333333,0.6991224404513163,0.6972972972972973,4.0,8.0,1673.0,720.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,Cardiomegaly,ap_view,analytic_corrected,2405
0.6842164536291457,0.302387363072243,0.17234468460083008,0.3740617334842682,1.0497021675109863,0.4580592123235395,0.4580592123235395,0.45391332929980066,0.48141297698020935,-2.0292766094207764,-2.7606489756432127,0.8662790697674418,0.3389830508474576,0.2143884892086331,0.9240924092409241,0.42985971943887774,149.0,546.0,280.0,23.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,Cardiomegaly,pa_view,raw,998
0.6842164536291457,0.302387363072243,0.17234468460083008,0.14818985760211945,0.47198671102523804,0.08526991962834088,0.08526991962834088,0.08839308847495932,0.4817489981651306,-0.9466028213500977,-0.5118184194112412,0.20930232558139536,0.9079903147699758,0.32142857142857145,0.8465011286681715,0.7875751503006012,36.0,76.0,750.0,136.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,Cardiomegaly,pa_view,analytic_corrected,998
0.587307591640541,0.15601461366985592,0.10049956291913986,0.1258537322282791,0.4624197781085968,0.12843633096204274,0.12843633096204274,0.12975805975844887,0.13749544322490692,-1.8297864198684692,-0.7892975027118615,0.16666666666666666,0.9114668409016661,0.17378048780487804,0.9073170731707317,0.8366147516896856,57.0,271.0,2790.0,285.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,Pneumonia,all_frontal,raw,3403
0.587307591640541,0.15601461366985592,0.10049956291913986,0.09776891022920609,0.6358704566955566,0.09245148293242676,0.09245148293242676,0.09245148612349971,0.13870054483413696,-1.2743273973464966,3.2014295886598134,0.005847953216374269,1.0,1.0,0.9000294031167304,0.9000881575080811,2.0,0.0,3061.0,340.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,Pneumonia,all_frontal,analytic_corrected,3403
0.5516228453445735,0.10787114379915314,0.08856549113988876,0.092797189950943,0.40280967950820923,0.08355033008571473,0.08355033008571473,0.08373793879070797,0.08843016624450684,-2.00569224357605,0.1900238014276678,0.028169014084507043,0.9840328467153284,0.14634146341463414,0.9124365482233503,0.8993762993762994,6.0,35.0,2157.0,207.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,Pneumonia,ap_view,raw,2405
0.5516228453445735,0.10787114379915314,0.08856549113988876,0.08808363974094391,0.6635935306549072,0.08647162202985767,0.08647162202985767,0.08629218190908432,0.08986537158489227,-1.6425927877426147,4.180745547175571,0.0,1.0,,0.9114345114345115,0.9114345114345115,0.0,0.0,2192.0,213.0,anchor_densenet121_weighted_bce_seed123,densenet121,weighted_bce,123,Pneumonia,ap_view,analytic_corrected,2405
