analysis_type,architecture,loss_type,seed,stratum_subset,temporal_bin,target,n_total,n_pos,auroc,brier,ece,notes
ece_binning_sensitivity,resnet50,weighted_bce,123,quantile_bins5,T1_2015,Pleural Effusion,1879,99,,,0.16444205166003756,ECE sensitivity: quantile binning with M=5
ece_binning_sensitivity,resnet50,weighted_bce,123,quantile_bins5,T2_2016,Pleural Effusion,3987,177,,,0.18931222300213144,ECE sensitivity: quantile binning with M=5
ece_binning_sensitivity,resnet50,weighted_bce,123,quantile_bins5,T3_2017,Pleural Effusion,2436,85,,,0.18647474833620387,ECE sensitivity: quantile binning with M=5
ece_binning_sensitivity,resnet50,weighted_bce,123,quantile_bins10,T1_2015,Pleural Effusion,1879,99,,,0.16444205251750857,ECE sensitivity: quantile binning with M=10
ece_binning_sensitivity,resnet50,weighted_bce,123,quantile_bins10,T2_2016,Pleural Effusion,3987,177,,,0.18931222984210824,ECE sensitivity: quantile binning with M=10
ece_binning_sensitivity,resnet50,weighted_bce,123,quantile_bins10,T3_2017,Pleural Effusion,2436,85,,,0.1864747469107374,ECE sensitivity: quantile binning with M=10
ece_binning_sensitivity,resnet50,weighted_bce,123,quantile_bins15,T1_2015,Pleural Effusion,1879,99,,,0.16444205440493612,ECE sensitivity: quantile binning with M=15
ece_binning_sensitivity,resnet50,weighted_bce,123,quantile_bins15,T2_2016,Pleural Effusion,3987,177,,,0.1893122348119651,ECE sensitivity: quantile binning with M=15
ece_binning_sensitivity,resnet50,weighted_bce,123,quantile_bins15,T3_2017,Pleural Effusion,2436,85,,,0.18647474998532532,ECE sensitivity: quantile binning with M=15
ece_binning_sensitivity,resnet50,weighted_bce,123,uniform_bins5,T1_2015,Pleural Effusion,1879,99,,,0.1644420516877938,ECE sensitivity: uniform binning with M=5
ece_binning_sensitivity,resnet50,weighted_bce,123,uniform_bins5,T2_2016,Pleural Effusion,3987,177,,,0.18931223061435615,ECE sensitivity: uniform binning with M=5
ece_binning_sensitivity,resnet50,weighted_bce,123,uniform_bins5,T3_2017,Pleural Effusion,2436,85,,,0.18647475735619296,ECE sensitivity: uniform binning with M=5
ece_binning_sensitivity,resnet50,weighted_bce,123,uniform_bins10,T1_2015,Pleural Effusion,1879,99,,,0.16444205802217512,ECE sensitivity: uniform binning with M=10
ece_binning_sensitivity,resnet50,weighted_bce,123,uniform_bins10,T2_2016,Pleural Effusion,3987,177,,,0.18931222707593773,ECE sensitivity: uniform binning with M=10
ece_binning_sensitivity,resnet50,weighted_bce,123,uniform_bins10,T3_2017,Pleural Effusion,2436,85,,,0.1864747540483921,ECE sensitivity: uniform binning with M=10
ece_binning_sensitivity,resnet50,weighted_bce,123,uniform_bins15,T1_2015,Pleural Effusion,1879,99,,,0.16444206668808464,ECE sensitivity: uniform binning with M=15
ece_binning_sensitivity,resnet50,weighted_bce,123,uniform_bins15,T2_2016,Pleural Effusion,3987,177,,,0.18931222528570543,ECE sensitivity: uniform binning with M=15
ece_binning_sensitivity,resnet50,weighted_bce,123,uniform_bins15,T3_2017,Pleural Effusion,2436,85,,,0.18647475663896754,ECE sensitivity: uniform binning with M=15
view_position_stratification,resnet50,weighted_bce,2026,PA,T1_2015,Pleural Effusion,646,21,0.8905523809523809,0.12939703949347298,,Stratified evaluation for ViewPosition=PA
view_position_stratification,resnet50,weighted_bce,2026,PA,T2_2016,Pleural Effusion,1379,38,0.8072432199065898,0.14473586808944855,,Stratified evaluation for ViewPosition=PA
view_position_stratification,resnet50,weighted_bce,2026,PA,T3_2017,Pleural Effusion,838,18,0.8358062330623306,0.14709621550105137,,Stratified evaluation for ViewPosition=PA
view_position_stratification,resnet50,weighted_bce,2026,AP,T1_2015,Pleural Effusion,192,6,0.5376344086021505,0.2784274841925292,,Stratified evaluation for ViewPosition=AP
view_position_stratification,resnet50,weighted_bce,2026,AP,T2_2016,Pleural Effusion,479,15,0.6296695402298851,0.2999150245148814,,Stratified evaluation for ViewPosition=AP
view_position_stratification,resnet50,weighted_bce,2026,AP,T3_2017,Pleural Effusion,303,5,0.6161073825503356,0.29184482459161976,,Stratified evaluation for ViewPosition=AP
view_position_stratification,resnet50,weighted_bce,2026,L,T1_2015,Pleural Effusion,442,20,0.89739336492891,0.11537345805965087,,Stratified evaluation for ViewPosition=L
view_position_stratification,resnet50,weighted_bce,2026,L,T2_2016,Pleural Effusion,894,35,0.8456843505737568,0.1325750244911042,,Stratified evaluation for ViewPosition=L
view_position_stratification,resnet50,weighted_bce,2026,L,T3_2017,Pleural Effusion,537,11,0.7748012443829935,0.14259841500035342,,Stratified evaluation for ViewPosition=L
ece_binning_sensitivity,resnet50,weighted_bce,2026,quantile_bins5,T1_2015,Pleural Effusion,1879,99,,,0.2790402302150716,ECE sensitivity: quantile binning with M=5
ece_binning_sensitivity,resnet50,weighted_bce,2026,quantile_bins5,T2_2016,Pleural Effusion,3987,177,,,0.3087112022269959,ECE sensitivity: quantile binning with M=5
ece_binning_sensitivity,resnet50,weighted_bce,2026,quantile_bins5,T3_2017,Pleural Effusion,2436,85,,,0.31496592733109824,ECE sensitivity: quantile binning with M=5
ece_binning_sensitivity,resnet50,weighted_bce,2026,quantile_bins10,T1_2015,Pleural Effusion,1879,99,,,0.2790402412303526,ECE sensitivity: quantile binning with M=10
ece_binning_sensitivity,resnet50,weighted_bce,2026,quantile_bins10,T2_2016,Pleural Effusion,3987,177,,,0.3087112104558978,ECE sensitivity: quantile binning with M=10
ece_binning_sensitivity,resnet50,weighted_bce,2026,quantile_bins10,T3_2017,Pleural Effusion,2436,85,,,0.314965916320388,ECE sensitivity: quantile binning with M=10
ece_binning_sensitivity,resnet50,weighted_bce,2026,quantile_bins15,T1_2015,Pleural Effusion,1879,99,,,0.2790402355244529,ECE sensitivity: quantile binning with M=15
ece_binning_sensitivity,resnet50,weighted_bce,2026,quantile_bins15,T2_2016,Pleural Effusion,3987,177,,,0.30871120252412215,ECE sensitivity: quantile binning with M=15
ece_binning_sensitivity,resnet50,weighted_bce,2026,quantile_bins15,T3_2017,Pleural Effusion,2436,85,,,0.31496592393918776,ECE sensitivity: quantile binning with M=15
ece_binning_sensitivity,resnet50,weighted_bce,2026,uniform_bins5,T1_2015,Pleural Effusion,1879,99,,,0.2790402423326737,ECE sensitivity: uniform binning with M=5
ece_binning_sensitivity,resnet50,weighted_bce,2026,uniform_bins5,T2_2016,Pleural Effusion,3987,177,,,0.30871121154442627,ECE sensitivity: uniform binning with M=5
ece_binning_sensitivity,resnet50,weighted_bce,2026,uniform_bins5,T3_2017,Pleural Effusion,2436,85,,,0.3149659460921251,ECE sensitivity: uniform binning with M=5
ece_binning_sensitivity,resnet50,weighted_bce,2026,uniform_bins10,T1_2015,Pleural Effusion,1879,99,,,0.2790402536215524,ECE sensitivity: uniform binning with M=10
ece_binning_sensitivity,resnet50,weighted_bce,2026,uniform_bins10,T2_2016,Pleural Effusion,3987,177,,,0.3087111986502687,ECE sensitivity: uniform binning with M=10
ece_binning_sensitivity,resnet50,weighted_bce,2026,uniform_bins10,T3_2017,Pleural Effusion,2436,85,,,0.31496592921209454,ECE sensitivity: uniform binning with M=10
ece_binning_sensitivity,resnet50,weighted_bce,2026,uniform_bins15,T1_2015,Pleural Effusion,1879,99,,,0.2790402377568514,ECE sensitivity: uniform binning with M=15
ece_binning_sensitivity,resnet50,weighted_bce,2026,uniform_bins15,T2_2016,Pleural Effusion,3987,177,,,0.3087112198798451,ECE sensitivity: uniform binning with M=15
ece_binning_sensitivity,resnet50,weighted_bce,2026,uniform_bins15,T3_2017,Pleural Effusion,2436,85,,,0.31496592310420884,ECE sensitivity: uniform binning with M=15
view_position_stratification,densenet121,weighted_bce,42,PA,T1_2015,Pleural Effusion,646,21,0.970895238095238,0.043603378775324185,,Stratified evaluation for ViewPosition=PA
view_position_stratification,densenet121,weighted_bce,42,PA,T2_2016,Pleural Effusion,1379,38,0.9409906197260489,0.056453521184761365,,Stratified evaluation for ViewPosition=PA
view_position_stratification,densenet121,weighted_bce,42,PA,T3_2017,Pleural Effusion,838,18,0.8482046070460705,0.06447791985932376,,Stratified evaluation for ViewPosition=PA
view_position_stratification,densenet121,weighted_bce,42,AP,T1_2015,Pleural Effusion,192,6,0.8064516129032258,0.08880329068313264,,Stratified evaluation for ViewPosition=AP
view_position_stratification,densenet121,weighted_bce,42,AP,T2_2016,Pleural Effusion,479,15,0.6744252873563219,0.0941716596220608,,Stratified evaluation for ViewPosition=AP
view_position_stratification,densenet121,weighted_bce,42,AP,T3_2017,Pleural Effusion,303,5,0.8771812080536913,0.0977853768882168,,Stratified evaluation for ViewPosition=AP
view_position_stratification,densenet121,weighted_bce,42,L,T1_2015,Pleural Effusion,442,20,0.920734597156398,0.07086154143337549,,Stratified evaluation for ViewPosition=L
view_position_stratification,densenet121,weighted_bce,42,L,T2_2016,Pleural Effusion,894,35,0.9004157658406785,0.06936931914548101,,Stratified evaluation for ViewPosition=L
view_position_stratification,densenet121,weighted_bce,42,L,T3_2017,Pleural Effusion,537,11,0.923263048738334,0.06405527950088007,,Stratified evaluation for ViewPosition=L
ece_binning_sensitivity,densenet121,weighted_bce,42,quantile_bins5,T1_2015,Pleural Effusion,1879,99,,,0.12670912193516076,ECE sensitivity: quantile binning with M=5
ece_binning_sensitivity,densenet121,weighted_bce,42,quantile_bins5,T2_2016,Pleural Effusion,3987,177,,,0.14559386153608478,ECE sensitivity: quantile binning with M=5
