architecture,target,temporal_bin,calibration_method,metric,unweighted_mean,weighted_mean,difference
resnet50,Cardiomegaly,T2_2016,temperature,log_loss,0.2343486309672667,0.40757150705109485,0.17322287608382814
resnet50,Cardiomegaly,T2_2016,temperature,ece_equal_mass,0.01479421853122614,0.1721189188810081,0.15732470034978197
resnet50,Cardiomegaly,T2_2016,temperature,auroc,0.8809314823554435,0.8212686033913176,-0.05966287896412592
resnet50,Cardiomegaly,T3_2017,temperature,brier_score,0.07012291686658342,0.1328848128354283,0.06276189596884488
resnet50,Cardiomegaly,T3_2017,temperature,log_loss,0.232942806440234,0.4120794378836874,0.1791366314434534
resnet50,Cardiomegaly,T3_2017,temperature,ece_equal_mass,0.015050107024390438,0.17125932117353979,0.15620921414914934
resnet50,Cardiomegaly,T3_2017,temperature,auroc,0.8836650952797888,0.815699053608673,-0.06796604167111575
resnet50,Cardiomegaly,T1_2015,offset,brier_score,0.055813489488931306,0.06257941033151786,0.006765920842586551
resnet50,Cardiomegaly,T1_2015,offset,log_loss,0.18839090313588686,0.21912920362151672,0.030738300485629866
resnet50,Cardiomegaly,T1_2015,offset,ece_equal_mass,0.013607034794927714,0.023144243002249185,0.009537208207321471
resnet50,Cardiomegaly,T1_2015,offset,auroc,0.8938243311181285,0.8339779618544877,-0.05984636926364084
resnet50,Cardiomegaly,T2_2016,offset,brier_score,0.07057673153567345,0.08100787898557171,0.01043114744989826
resnet50,Cardiomegaly,T2_2016,offset,log_loss,0.2357270250080899,0.2734103693276605,0.0376833443195706
resnet50,Cardiomegaly,T2_2016,offset,ece_equal_mass,0.021866647277385468,0.029772464128604386,0.007905816851218918
resnet50,Cardiomegaly,T2_2016,offset,auroc,0.8809314823554435,0.8212686033913176,-0.05966287896412592
resnet50,Cardiomegaly,T3_2017,offset,brier_score,0.07078988138429793,0.08176471471378775,0.010974833329489828
resnet50,Cardiomegaly,T3_2017,offset,log_loss,0.23475769317782436,0.27530933525566226,0.0405516420778379
resnet50,Cardiomegaly,T3_2017,offset,ece_equal_mass,0.020674310377826077,0.02790152035781613,0.007227209979990053
resnet50,Cardiomegaly,T3_2017,offset,auroc,0.8836650952797888,0.815699053608673,-0.06796604167111575
resnet50,Cardiomegaly,T1_2015,platt,brier_score,0.0557772583707191,0.061697988988719574,0.005920730618000476
resnet50,Cardiomegaly,T1_2015,platt,log_loss,0.187860589954975,0.21545134956266532,0.027590759607690307
resnet50,Cardiomegaly,T1_2015,platt,ece_equal_mass,0.009205262646000866,0.012437844028761488,0.003232581382760622
resnet50,Cardiomegaly,T1_2015,platt,auroc,0.8928512513550455,0.8328340285305809,-0.060017222824464644
resnet50,Cardiomegaly,T2_2016,platt,brier_score,0.07009480474368196,0.07945284800536245,0.009358043261680493
resnet50,Cardiomegaly,T2_2016,platt,log_loss,0.23507806731403705,0.26891555345820906,0.03383748614417201
resnet50,Cardiomegaly,T2_2016,platt,ece_equal_mass,0.019692427869347294,0.02105255069700221,0.0013601228276549152
resnet50,Cardiomegaly,T2_2016,platt,auroc,0.8809314823554435,0.8212686033913176,-0.05966287896412592
resnet50,Cardiomegaly,T3_2017,platt,brier_score,0.07037602780742239,0.0802006647194595,0.00982463691203711
resnet50,Cardiomegaly,T3_2017,platt,log_loss,0.23329440651756778,0.27212272194417864,0.03882831542661086
resnet50,Cardiomegaly,T3_2017,platt,ece_equal_mass,0.018783376639343454,0.022089868095820992,0.003306491456477538
resnet50,Cardiomegaly,T3_2017,platt,auroc,0.8836650952797888,0.815699053608673,-0.06796604167111575
resnet50,Edema,T1_2015,raw,brier_score,0.0021314720996884885,0.05917008999405046,0.05703861789436197
resnet50,Edema,T1_2015,raw,log_loss,0.017385754700622657,0.19304362211148376,0.17565786741086112
resnet50,Edema,T1_2015,raw,ece_equal_mass,0.002168891674200177,0.13714850235408643,0.13497961067988626
resnet50,Edema,T1_2015,raw,auroc,0.5559666666666667,0.5543833333333333,-0.001583333333333381
resnet50,Edema,T2_2016,raw,brier_score,0.0032322406099189916,0.06376001722631709,0.0605277766163981
resnet50,Edema,T2_2016,raw,log_loss,0.019248487885063954,0.20306895744899736,0.18382046956393341
resnet50,Edema,T2_2016,raw,ece_equal_mass,0.0023270732730004398,0.1454510645136474,0.14312399124064695
