architecture,loss_type,seed,target,temporal_bin,calibration_method,comparison,brier_raw,brier_calibrated,delta_brier,brier_diff_ci_lower,brier_diff_ci_upper,log_loss_raw,log_loss_calibrated,delta_log_loss,log_loss_diff_ci_lower,log_loss_diff_ci_upper
densenet121,unweighted_bce,ensemble,Pleural Effusion,T3_2017,offset,offset_vs_raw,0.02676743067172039,0.027435618513213286,0.0006681878414928968,-0.0005711568017599804,0.0018065341482292941,0.10535752749713272,0.10891624690919913,0.0035587194120664106,-0.0011760694817181257,0.007773320372547336
densenet121,unweighted_bce,ensemble,Pleural Effusion,T3_2017,platt,platt_vs_raw,0.02676743067172039,0.02848307461715356,0.001715643945433172,-1.5524746720489003e-05,0.0033968809943582447,0.10535752749713272,0.11024403770018824,0.004886510203055527,-0.00023228446558514536,0.009680655968372767
densenet121,unweighted_bce,ensemble,Pneumonia,T1_2015,temperature,temperature_vs_raw,0.02327896738839484,0.02288353292043657,-0.0003954344679582729,-0.0009278090619882996,7.693386923550935e-05,0.0958865444103405,0.09425573007498153,-0.001630814335358971,-0.006674948734679599,0.002667169419655265
densenet121,unweighted_bce,ensemble,Pneumonia,T1_2015,offset,offset_vs_raw,0.02327896738839484,0.022575609734331092,-0.0007033576540637493,-0.001941841172750123,0.00033964724671861006,0.0958865444103405,0.09306055604566688,-0.002825988364673626,-0.009253694610800911,0.002820289158067073
densenet121,unweighted_bce,ensemble,Pneumonia,T1_2015,platt,platt_vs_raw,0.02327896738839484,0.022936082158555898,-0.0003428852298389441,-0.0016237003324060223,0.0008100577428744084,0.0958865444103405,0.09433233797893766,-0.0015542064314028464,-0.007851641726838249,0.004043057457531805
densenet121,unweighted_bce,ensemble,Pneumonia,T2_2016,temperature,temperature_vs_raw,0.01805271375344483,0.017856757177197983,-0.00019595657624684598,-0.0004971178809487578,7.632849189822725e-05,0.07540420469854096,0.07579511600892784,0.00039091131038687665,-0.002787324768612692,0.0031364431320033068
densenet121,unweighted_bce,ensemble,Pneumonia,T2_2016,offset,offset_vs_raw,0.01805271375344483,0.01784218795872819,-0.00021052579471663932,-0.0008241091075410235,0.0003541515825502618,0.07540420469854096,0.07511241932737688,-0.0002917853711640883,-0.004185688518176753,0.0032584797366405345
densenet121,unweighted_bce,ensemble,Pneumonia,T2_2016,platt,platt_vs_raw,0.01805271375344483,0.01792882797404133,-0.00012388577940349726,-0.000829147660905194,0.00052753981545268,0.07540420469854096,0.07439758600346379,-0.0010066186950771772,-0.0050374230256466064,0.0027452084638675046
densenet121,unweighted_bce,ensemble,Pneumonia,T3_2017,temperature,temperature_vs_raw,0.018490024663792876,0.01827214149024907,-0.00021788317354380637,-0.0005673180263495127,0.00010052318006922246,0.0782174200908445,0.07814135197241022,-7.606811843427486e-05,-0.003831578544236658,0.0032616223427949895
densenet121,unweighted_bce,ensemble,Pneumonia,T3_2017,offset,offset_vs_raw,0.018490024663792876,0.018124601029557603,-0.0003654236342352721,-0.0011788555659163283,0.00034959533520382115,0.0782174200908445,0.07727077038991126,-0.0009466497009332359,-0.00555501960696862,0.003157278103722909
densenet121,unweighted_bce,ensemble,Pneumonia,T3_2017,platt,platt_vs_raw,0.018490024663792876,0.018278890335737437,-0.0002111343280554387,-0.0010909274486700165,0.0005829964723574032,0.0782174200908445,0.07722836044121054,-0.0009890596496339582,-0.005626321528110715,0.0031121841508241865
densenet121,weighted_bce,ensemble,Cardiomegaly,T1_2015,temperature,temperature_vs_raw,0.11248220313914294,0.11299444913834612,0.0005122459992031869,0.00015947827110701299,0.000858336176123136,0.36442634234805077,0.36564002714080573,0.0012136847927549654,-4.807237960496072e-05,0.0025972589022857117
densenet121,weighted_bce,ensemble,Cardiomegaly,T1_2015,offset,offset_vs_raw,0.11248220313914294,0.05397779832765634,-0.058504404811486596,-0.07162092436274951,-0.04657672679304757,0.36442634234805077,0.18423863903378396,-0.1801877033142668,-0.21426772988332973,-0.14916212384659588
densenet121,weighted_bce,ensemble,Cardiomegaly,T1_2015,platt,platt_vs_raw,0.11248220313914294,0.054497947948092845,-0.05798425519105009,-0.07170373140807469,-0.04567066506359536,0.36442634234805077,0.18653563457430186,-0.1778907077737489,-0.21252654918054292,-0.1464955974618119
densenet121,weighted_bce,ensemble,Cardiomegaly,T1_2015,analytic_weight,analytic_weight_vs_raw,0.11248220313914294,0.05375010224381683,-0.05873210089532611,-0.07177093370560667,-0.04703807626040244,0.36442634234805077,0.18433656403347873,-0.18008977831457204,-0.21351602255060564,-0.14948030500670367
densenet121,weighted_bce,ensemble,Cardiomegaly,T2_2016,temperature,temperature_vs_raw,0.1214188716710477,0.12172007416668609,0.00030120249563839185,0.00015771575994014134,0.000452237271164768,0.38665070385810907,0.38655142457338415,-9.927928472491798e-05,-0.00044195558449012953,0.00027127214115398637
densenet121,weighted_bce,ensemble,Cardiomegaly,T2_2016,offset,offset_vs_raw,0.1214188716710477,0.06848798829626183,-0.05293088337478587,-0.0624887536375716,-0.04363463028116732,0.38665070385810907,0.22610533269086996,-0.1605453711672391,-0.1853690550928667,-0.13563476729129295
densenet121,weighted_bce,ensemble,Cardiomegaly,T2_2016,platt,platt_vs_raw,0.1214188716710477,0.06905091360853464,-0.052367958062513056,-0.06211975662429172,-0.04292184570297128,0.38665070385810907,0.22805326226693554,-0.15859744159117353,-0.18358030964391156,-0.13371758524482596
densenet121,weighted_bce,ensemble,Cardiomegaly,T2_2016,analytic_weight,analytic_weight_vs_raw,0.1214188716710477,0.0683973609560967,-0.053021510714950995,-0.06249186166585702,-0.043821140444065786,0.38665070385810907,0.22621199937992661,-0.16043870447818245,-0.18494808775897348,-0.1358716101934819
densenet121,weighted_bce,ensemble,Cardiomegaly,T3_2017,temperature,temperature_vs_raw,0.121857462072773,0.12223244137416046,0.00037497930138746804,0.00019694873117854248,0.0005412858314378026,0.38786354555977376,0.3879900926007138,0.00012654704094006153,-0.00029029342781863616,0.0005442898836376471
densenet121,weighted_bce,ensemble,Cardiomegaly,T3_2017,offset,offset_vs_raw,0.121857462072773,0.07003809370438634,-0.05181936836838666,-0.06372665927120903,-0.04007848363287592,0.38786354555977376,0.23274708119026113,-0.15511646436951262,-0.18576517809492765,-0.12407124911207583
densenet121,weighted_bce,ensemble,Cardiomegaly,T3_2017,platt,platt_vs_raw,0.121857462072773,0.070248482623108,-0.051608979449665,-0.06381097755848306,-0.039603040438213104,0.38786354555977376,0.23318029382326064,-0.15468325173651312,-0.18538895190921534,-0.12397210340207108
densenet121,weighted_bce,ensemble,Cardiomegaly,T3_2017,analytic_weight,analytic_weight_vs_raw,0.121857462072773,0.07000394368512586,-0.05185351838764714,-0.06364499107914626,-0.04018738429100066,0.38786354555977376,0.23306569386233408,-0.15479785169743968,-0.1849461529773775,-0.12427223608045943
densenet121,weighted_bce,ensemble,Edema,T1_2015,temperature,temperature_vs_raw,0.038297537728660826,0.03791573943955679,-0.000381798289104035,-0.0005887854201471598,-0.00019499445040047143,0.15826828159788262,0.1602938376960411,0.002025556098158493,0.0012617453855708204,0.0027030093725284774
densenet121,weighted_bce,ensemble,Edema,T1_2015,offset,offset_vs_raw,0.038297537728660826,0.002334216603742197,-0.03596332112491863,-0.04442450522240076,-0.02871318052977819,0.15826828159788262,0.018902870608558393,-0.13936541098932423,-0.16564032986162044,-0.1133352524358962
densenet121,weighted_bce,ensemble,Edema,T1_2015,platt,platt_vs_raw,0.038297537728660826,0.011102986662191679,-0.027194551066469147,-0.03555750562363326,-0.02055528559421312,0.15826828159788262,0.05002399208754382,-0.10824428951033879,-0.13210126932099348,-0.08744027914149267
