coverage,retained_samples,deferred_samples,p_defer_given_pos,p_defer_given_neg,retained_positives,retained_prevalence,automated_false_negatives,automated_false_positives,sensitivity_retained,specificity_retained,ppv_retained,npv_retained,brier_score,ece,ece_equal_width,ece_equal_mass,auroc,auprc,architecture,loss_type,seed,target,temporal_bin,calibration_method,threshold_method,threshold_value
0.8,3190,797,0.1977401129943503,0.2,142.0,0.0445141065830721,18.0,376.0,0.8732394366197183,0.8766404199475065,0.248,0.9933085501858736,0.032262921744971834,0.009885221720265087,0.009395528458977818,0.009885221720265087,0.9306171675723633,0.41725150381616394,densenet121,unweighted_bce,ensemble,Pleural Effusion,T2_2016,raw,youden_validation,0.020260223798685823
0.9,3589,398,0.04519774011299435,0.10236220472440945,169.0,0.0470883254388409,18.0,716.0,0.893491124260355,0.7906432748538011,0.17416378316032297,0.9933872152828802,0.03571319720752643,0.011715696531244282,0.011264929841949278,0.011715696531244282,0.9120419391674451,0.3809417450309644,densenet121,unweighted_bce,ensemble,Pleural Effusion,T2_2016,raw,youden_validation,0.020260223798685823
1.0,3987,0,0.0,0.0,177.0,0.04439428141459744,18.0,1095.0,0.8983050847457628,0.7125984251968503,0.12679425837320574,0.9934138309549945,0.03412156913691426,0.01009783969784309,0.009629678578622092,0.01009783969784309,0.9030739801592598,0.3674306766691528,densenet121,unweighted_bce,ensemble,Pleural Effusion,T2_2016,raw,youden_validation,0.020260223798685823
0.5,1994,1993,0.9717514124293786,0.4779527559055118,5.0,0.0025075225677031092,5.0,0.0,0.0,1.0,,0.9974924774322969,0.0025055864130658564,0.0028363720336231457,0.00274296467205541,0.0028363720336231457,0.7286073403720462,0.00572681813611633,densenet121,unweighted_bce,ensemble,Pleural Effusion,T2_2016,raw,fixed_0.5,0.5
0.6,2393,1594,0.9491525423728814,0.3742782152230971,9.0,0.0037609694943585457,9.0,0.0,0.0,1.0,,0.9962390305056414,0.0037423621410194664,0.002656304107777259,0.0026563041077772593,0.002656304107777259,0.7527498135719612,0.011350205778048348,densenet121,unweighted_bce,ensemble,Pleural Effusion,T2_2016,raw,fixed_0.5,0.5
0.7,2791,1196,0.8983050847457628,0.2721784776902887,18.0,0.006449301325689717,18.0,0.0,0.0,1.0,,0.9935506986743102,0.006366313201025022,0.002856727890026877,0.001578985151135556,0.002856727890026877,0.7856312858115959,0.019211527045696033,densenet121,unweighted_bce,ensemble,Pleural Effusion,T2_2016,raw,fixed_0.5,0.5
0.8,3190,797,0.8305084745762712,0.17060367454068243,30.0,0.009404388714733543,30.0,0.0,0.0,1.0,,0.9905956112852664,0.00922332716749008,0.0035331518832553603,0.001036052104690122,0.0035331518832553603,0.7876898734177216,0.030404549520313667,densenet121,unweighted_bce,ensemble,Pleural Effusion,T2_2016,raw,fixed_0.5,0.5
0.9,3589,398,0.6214689265536724,0.07559055118110236,67.0,0.018668152688771245,67.0,0.0,0.0,1.0,,0.9813318473112288,0.017652601998282346,0.007059459197080498,0.003594621666398479,0.007059459197080498,0.8464449473247053,0.10305247061560478,densenet121,unweighted_bce,ensemble,Pleural Effusion,T2_2016,raw,fixed_0.5,0.5
1.0,3987,0,0.0,0.0,177.0,0.04439428141459744,157.0,14.0,0.11299435028248588,0.9963254593175853,0.5882352941176471,0.9602833291171262,0.03412156913691426,0.01009783969784309,0.009629678578622089,0.01009783969784309,0.9030739801592598,0.3674306766691528,densenet121,unweighted_bce,ensemble,Pleural Effusion,T2_2016,raw,fixed_0.5,0.5
0.5,1994,1993,0.864406779661017,0.48293963254593175,24.0,0.012036108324974924,5.0,14.0,0.7916666666666666,0.9928934010152284,0.5757575757575758,0.9974502804691484,0.006347789174950553,0.005713259644802647,0.006738769215575551,0.005713259644802647,0.9508248730964467,0.6028601939317074,densenet121,unweighted_bce,ensemble,Pleural Effusion,T2_2016,temperature,youden_validation,0.030135552088419598
